_id,fullName,email,password,phoneNumber,address,refreshToken,role,avatar,createdAt,updatedAt,__v
679b7697c6b9a27355e7eed8,Tanek Jacobs,juqan@mailinator.com,$2b$08$R654mDdjhW.5w1KRHJryc.NEUCuTvS1I7o.hrcq5LEll3RNchWMEO,1120320120,Aute ut voluptas eum,,Agent,https://res.cloudinary.com/duto9uwjs/image/upload/v1737528548/PropertyFy/profile_imgs/wjlbupipguv7c2ucesdb.jpg,2025-01-30T12:54:47.540Z,2025-01-30T12:54:47.540Z,0
679b76a1c6b9a27355e7eedc,Quintessa Hall,homaw@mailinator.com,$2b$08$AzPH4Ynu1g2DKc2ak2sof.av7DpvjPeCmXmpg3RSkIQlUyshm4W7O,4587954623,Elit culpa totam te,,Seller,https://res.cloudinary.com/duto9uwjs/image/upload/v1737528548/PropertyFy/profile_imgs/wjlbupipguv7c2ucesdb.jpg,2025-01-30T12:54:57.327Z,2025-01-30T12:54:57.327Z,0
679dd65feecde7b54f827f65,agent@gmail.com,agent@gmail.com,$2b$08$VipN9hHorYwCKY/E7v9q9e1JwPAaOtjm/Bq3fGFcfQAOMrvnUxGAW,5445879564,kdjs lsdjk djlsdjk sdsk,,Agent,https://res.cloudinary.com/duto9uwjs/image/upload/v1738410482/PropertyFy/profile_imgs/yqxiz88ugvhsnkhmdjiw.jpg,2025-02-01T08:07:59.492Z,2025-02-02T04:51:10.496Z,0
67a611b51bc21ba2bd38c457,darshan,darshan@gmail.com,$2b$08$kyGmLgCR1YEjs/czMF1wKuoMRPC/zNNxwuQPozCfCyq0zSLw.s8TW,0000000000,000 00 00 00 0 ,,User,https://res.cloudinary.com/duto9uwjs/image/upload/v1737528548/PropertyFy/profile_imgs/wjlbupipguv7c2ucesdb.jpg,2025-02-07T13:59:17.293Z,2025-02-07T13:59:17.293Z,0
67ab4a0fc4f947b280dc01ec,Prince Bavishi,user@gmail.com,$2b$08$Fyi3KWeiHRxDqKcHgTebnODEGQn0ybgqZK7WzCepCvNcv4wC5MFkW,12345685421,00 00 00 00 0,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY3YWI0YTBmYzRmOTQ3YjI4MGRjMDFlYyIsImlhdCI6MTc0MDk3MTk2NSwiZXhwIjoxNzQxNTc2NzY1fQ.4BiKGvy_2aXA4s8tgxKVWkraBpyly0VwC6DUPxJNi3E,User,https://res.cloudinary.com/duto9uwjs/image/upload/v1740714403/PropertyFy/profile_imgs/sxwv1lavfwx7y7fmkbum.jpg,2025-02-11T13:01:03.452Z,2025-03-03T03:19:25.585Z,0
67b22f14828c0041ea814b71,Axel Holman,mumofi@mailinator.com,$2b$08$2APJiubxKMv1tG.rLioxL.LoLpNlisDQ2woU70L52/i0MbcPbnQ/6,5444248429,Labore incidunt pra,,User,https://res.cloudinary.com/duto9uwjs/image/upload/v1737528548/PropertyFy/profile_imgs/wjlbupipguv7c2ucesdb.jpg,2025-02-16T18:31:48.882Z,2025-02-17T10:21:32.788Z,0
67bbf1d4898288c4a88960d3,sagil bhai,sagil@gmail.com,$2b$08$C1iWRJdhHPyVdXXJfQfLYeN9LnDVut7kt1/Oqr3s84Sd36Cxoyr2m,4587956421,skj ksj hkjshdksj dkjs hd,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY3YmJmMWQ0ODk4Mjg4YzRhODg5NjBkMyIsImlhdCI6MTc0MDM5OTIwNCwiZXhwIjoxNzQxMDA0MDA0fQ.YsdGDSUhCj8tLiFII9eVD120OADHXxd_z36wkMjghEk,User,https://res.cloudinary.com/duto9uwjs/image/upload/v1737528548/PropertyFy/profile_imgs/wjlbupipguv7c2ucesdb.jpg,2025-02-24T04:13:08.802Z,2025-02-24T12:13:24.456Z,0
67bdd1c8132a4fd98736e474,Prince Bavishi,pb@gmail.com,$2b$08$grhpFQfo/VaFcI0bbOVjceKcBwr7xSyyUtfEOCL5.dvCE7BdALINi,7854321878,pb@gmail.com,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY3YmRkMWM4MTMyYTRmZDk4NzM2ZTQ3NCIsImlhdCI6MTc0MDQ5MzI2MiwiZXhwIjoxNzQxMDk4MDYyfQ.94_0dSK81GkNkb2Zbog0wWHmkrTsA89-opUw_EJL0Ro,User,https://res.cloudinary.com/duto9uwjs/image/upload/v1737528548/PropertyFy/profile_imgs/wjlbupipguv7c2ucesdb.jpg,2025-02-25T14:20:56.890Z,2025-02-25T14:21:02.148Z,0
67c1ed9b1a3d4dacf76a2dc4,test test,test@gmail.com,$2b$08$fPqGIuDpOOjh84.t5sNFCeBrO2LnV23DhY7Z4Tx8wkgBiVMvzLum.,8965987546,stest@gmail.com,,User,https://res.cloudinary.com/duto9uwjs/image/upload/v1737528548/PropertyFy/profile_imgs/wjlbupipguv7c2ucesdb.jpg,2025-02-28T17:08:43.624Z,2025-03-01T04:33:02.139Z,0
67c4016d7bd0f7e42574541e,Prince Bavishi,seller@gmail.com,$2b$08$MbW3QwsLU48AZHDTHd4c3.823.b6ZNgjqvCxWMZA7tDAuRHw0zX8S,5468975465,seller@gmail.com,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY3YzQwMTZkN2JkMGY3ZTQyNTc0NTQxZSIsImlhdCI6MTc0MDg5ODY3OSwiZXhwIjoxNzQxNTAzNDc5fQ.4ZkDO0HLSD7K0KztOmB8Rj4E9yph-JnSTJZztydBbqA,Seller,https://res.cloudinary.com/duto9uwjs/image/upload/v1737528548/PropertyFy/profile_imgs/wjlbupipguv7c2ucesdb.jpg,2025-03-02T06:57:49.259Z,2025-03-02T06:57:59.326Z,0
