_id,userId,propertyId,rating,comment,avatar,name,createdAt,updatedAt,__v
67b30ac8dd6aa7c91e13ac9d,67ab4a0fc4f947b280dc01ec,67adec0b87e96598717ec4e2,1,Hello This is Nice Property LOCALHOST,https://res.cloudinary.com/duto9uwjs/image/upload/v1739786914/PropertyFy/profile_imgs/u7mjojss1wcuaoxvgjll.png,user@gmail.com,2025-02-17T10:09:12.334Z,2025-02-18T11:27:14.375Z,0
67b30b2cdd6aa7c91e13ad19,67b22f14828c0041ea814b71,67adec0b87e96598717ec4e2,5,"Absolutely love my new home! The neighborhood is peaceful, and the real estate agent was very professional throughout the process.",https://res.cloudinary.com/duto9uwjs/image/upload/v1737528548/PropertyFy/profile_imgs/wjlbupipguv7c2ucesdb.jpg,Axel Holman,2025-02-17T10:10:52.277Z,2025-02-17T10:10:52.277Z,0
67b30b46dd6aa7c91e13ad1c,67b22f14828c0041ea814b71,67adec0b87e96598717ec4e2,5,"Great apartment with a fantastic view! The only downside was a slight delay in paperwork, but overall, a great experience.",https://res.cloudinary.com/duto9uwjs/image/upload/v1737528548/PropertyFy/profile_imgs/wjlbupipguv7c2ucesdb.jpg,Axel Holman,2025-02-17T10:11:18.286Z,2025-02-17T10:11:18.286Z,0
67b337cedd6aa7c91e13b5d1,67ab4a0fc4f947b280dc01ec,67adeb8087e96598717ec4c6,3,3456789 56789 678 sjhds sd sd,https://res.cloudinary.com/duto9uwjs/image/upload/v1739786914/PropertyFy/profile_imgs/u7mjojss1wcuaoxvgjll.png,user@gmail.com,2025-02-17T13:21:18.543Z,2025-02-24T03:45:52.946Z,0
67b3454fdd6aa7c91e13b7ca,67ab4a0fc4f947b280dc01ec,67adeb8087e96598717ec4c6,4,Gello towerll,https://res.cloudinary.com/duto9uwjs/image/upload/v1739786914/PropertyFy/profile_imgs/u7mjojss1wcuaoxvgjll.png,user@gmail.com,2025-02-17T14:18:55.425Z,2025-02-17T14:18:55.425Z,0
67b54a4dec8d996276740727,67ab4a0fc4f947b280dc01ec,67adeb8087e96598717ec4c6,5,local host hello world,https://res.cloudinary.com/duto9uwjs/image/upload/v1739786914/PropertyFy/profile_imgs/u7mjojss1wcuaoxvgjll.png,user@gmail.com,2025-02-19T03:04:45.397Z,2025-02-19T03:05:01.029Z,0
67b859273a43da6db878048e,67ab4a0fc4f947b280dc01ec,67b7406911b98854146ae836,4,uhkjh j khj ddf,https://res.cloudinary.com/duto9uwjs/image/upload/v1739786914/PropertyFy/profile_imgs/u7mjojss1wcuaoxvgjll.png,user@gmail.com,2025-02-21T10:44:55.687Z,2025-02-22T03:06:32.408Z,0
67b93f1b0f68070e43dab57b,67ab4a0fc4f947b280dc01ec,67b7406911b98854146ae836,4,localhost jsjdhsd,https://res.cloudinary.com/duto9uwjs/image/upload/v1739786914/PropertyFy/profile_imgs/u7mjojss1wcuaoxvgjll.png,user@gmail.com,2025-02-22T03:06:03.181Z,2025-02-22T03:06:12.009Z,0
67b969c25ec6efd2ac025ba0,67ab4a0fc4f947b280dc01ec,67adeb8087e96598717ec4c6,5,sjhdskhd skjdhsd jhds d sdskd,https://res.cloudinary.com/duto9uwjs/image/upload/v1739786914/PropertyFy/profile_imgs/u7mjojss1wcuaoxvgjll.png,user@gmail.com,2025-02-22T06:08:02.364Z,2025-02-22T06:08:10.499Z,0
67b99e4a94425f3cc411f3b7,67ab4a0fc4f947b280dc01ec,67adec0b87e96598717ec4e2,4,sasa as as a   s s,https://res.cloudinary.com/duto9uwjs/image/upload/v1739786914/PropertyFy/profile_imgs/u7mjojss1wcuaoxvgjll.png,user@gmail.com,2025-02-22T09:52:10.512Z,2025-02-22T09:52:16.839Z,0
